Year,Amount,AVG,Men
1996,10935,68.3,5671
1997,10649,67.3,5483
1998,11870,68.3,6106
1999,14110,68.5,7499
2000,17554,68.3,9127
2001,25962,68.0,13534
2002,38306,68.1,20394
2003,50382,67.6,27160
2004,69626,67.6,37547
2005,90777,67.5,49067
2006,115783,67.6,63253
2007,144021,67.4,79177
2008,180965,67.4,99819
2009,219255,67.4,121454
2010,259211,67.5,143760
2011,285389,67.7,159253
2012,296564,67.8,166698
2013,306935,67.9,174034
2014,323286,68.1,184241
2015,341062,68.2,195473
2016,359335,68.3,206800
2017,378522,68.4,218342
2018,388732,68.5,224897
